time,ssid,raw_rssi,filtered_rssi,distance,x,y
409957,TestNetwork2,-58,-58.31,0.60,1.97,0.86
413578,TestNetwork1,-52,-50.61,0.30,1.96,0.86
413578,TestNetwork3,-33,-43.73,0.30,1.96,0.86
413578,TestNetwork2,-64,-58.60,0.63,1.96,0.86
417118,TestNetwork1,-55,-50.83,0.30,1.96,0.86
417118,TestNetwork3,-34,-43.22,0.30,1.96,0.86
417118,TestNetwork2,-63,-58.83,0.65,1.96,0.86
420657,TestNetwork1,-52,-50.89,0.30,1.95,0.87
420657,TestNetwork3,-35,-42.80,0.30,1.95,0.87
420657,TestNetwork2,-68,-59.30,0.69,1.95,0.87
424208,TestNetwork1,-53,-51.00,0.30,1.94,0.87
424208,TestNetwork3,-34,-42.35,0.30,1.94,0.87
424208,TestNetwork2,-72,-59.95,0.76,1.94,0.87
427758,TestNetwork1,-52,-51.05,0.30,1.93,0.88
427758,TestNetwork3,-33,-41.88,0.30,1.93,0.88
427758,TestNetwork2,-70,-60.46,0.82,1.93,0.88
431308,TestNetwork1,-51,-51.05,0.30,1.93,0.88
431308,TestNetwork3,-34,-41.48,0.30,1.93,0.88
431308,TestNetwork2,-62,-60.54,0.82,1.93,0.88
434858,TestNetwork1,-53,-51.15,0.30,1.92,0.89
434858,TestNetwork3,-40,-41.40,0.30,1.92,0.89
434858,TestNetwork2,-66,-60.81,0.86,1.92,0.89
438408,TestNetwork1,-54,-51.29,0.30,1.91,0.90
438408,TestNetwork3,-41,-41.38,0.30,1.91,0.90
438408,TestNetwork2,-70,-61.28,0.91,1.91,0.90
441958,TestNetwork1,-50,-51.23,0.30,1.90,0.90
441958,TestNetwork3,-36,-41.11,0.30,1.90,0.90
441958,TestNetwork2,-66,-61.51,0.95,1.90,0.90
445509,TestNetwork1,-52,-51.27,0.30,1.89,0.91
445509,TestNetwork3,-39,-41.01,0.30,1.89,0.91
445509,TestNetwork2,-66,-61.74,0.98,1.89,0.91
449058,TestNetwork1,-52,-51.30,0.30,1.88,0.92
449058,TestNetwork3,-39,-40.91,0.30,1.88,0.92
449058,TestNetwork2,-71,-62.20,1.04,1.88,0.92
452608,TestNetwork1,-51,-51.29,0.30,1.87,0.92
452608,TestNetwork3,-37,-40.71,0.30,1.87,0.92
452608,TestNetwork2,-66,-62.39,1.07,1.87,0.92
456158,TestNetwork1,-50,-51.22,0.30,1.86,0.93
456158,TestNetwork3,-34,-40.38,0.30,1.86,0.93
456158,TestNetwork2,-67,-62.62,1.10,1.86,0.93
459738,TestNetwork1,-51,-51.21,0.30,1.86,0.93
459738,TestNetwork3,-33,-40.01,0.30,1.86,0.93
459738,TestNetwork2,-64,-62.69,1.11,1.86,0.93
463318,TestNetwork1,-50,-51.15,0.30,1.84,0.94
463318,TestNetwork3,-32,-39.62,0.30,1.84,0.94
463318,TestNetwork2,-68,-62.95,1.16,1.84,0.94
466888,TestNetwork1,-52,-51.19,0.30,1.85,0.93
466888,TestNetwork3,-47,-39.98,0.30,1.85,0.93
466888,TestNetwork2,-59,-62.75,1.12,1.85,0.93
470448,TestNetwork1,-52,-51.23,0.30,1.85,0.93
470448,TestNetwork3,-35,-39.74,0.30,1.85,0.93
470448,TestNetwork2,-64,-62.82,1.13,1.85,0.93
474018,TestNetwork1,-55,-51.42,0.30,1.85,0.93
474018,TestNetwork3,-39,-39.70,0.30,1.85,0.93
474018,TestNetwork2,-62,-62.77,1.13,1.85,0.93
477588,TestNetwork1,-55,-51.60,0.30,1.84,0.94
477588,TestNetwork3,-40,-39.71,0.30,1.84,0.94
477588,TestNetwork2,-67,-62.98,1.16,1.84,0.94
481158,TestNetwork1,-53,-51.67,0.30,1.85,0.94
481158,TestNetwork3,-39,-39.68,0.30,1.85,0.94
481158,TestNetwork2,-61,-62.89,1.15,1.85,0.94
484728,TestNetwork1,-53,-51.73,0.30,1.85,0.93
484728,TestNetwork3,-39,-39.65,0.30,1.85,0.93
484728,TestNetwork2,-62,-62.84,1.14,1.85,0.93
488298,TestNetwork1,-52,-51.74,0.30,1.84,0.94
488298,TestNetwork3,-36,-39.47,0.30,1.84,0.94
488298,TestNetwork2,-65,-62.95,1.16,1.84,0.94
491868,TestNetwork1,-51,-51.71,0.30,1.85,0.94
491868,TestNetwork3,-40,-39.49,0.30,1.85,0.94
491868,TestNetwork2,-62,-62.90,1.15,1.85,0.94
495448,TestNetwork1,-54,-51.82,0.30,1.85,0.93
495448,TestNetwork3,-35,-39.27,0.30,1.85,0.93
495448,TestNetwork2,-60,-62.76,1.13,1.85,0.93
499028,TestNetwork1,-51,-51.78,0.30,1.84,0.94
499028,TestNetwork3,-39,-39.26,0.30,1.84,0.94
499028,TestNetwork2,-67,-62.97,1.16,1.84,0.94
502608,TestNetwork1,-51,-51.74,0.30,1.84,0.94
502608,TestNetwork3,-36,-39.10,0.30,1.84,0.94
502608,TestNetwork2,-66,-63.12,1.18,1.84,0.94
506188,TestNetwork1,-49,-51.61,0.30,1.84,0.94
506188,TestNetwork3,-39,-39.09,0.30,1.84,0.94
506188,TestNetwork2,-60,-62.96,1.16,1.84,0.94
510158,TestNetwork1,-51,-51.58,0.30,1.84,0.94
510158,TestNetwork3,-36,-38.94,0.30,1.84,0.94
510158,TestNetwork2,-64,-63.01,1.17,1.84,0.94
513738,TestNetwork1,-50,-51.50,0.30,1.84,0.94
513738,TestNetwork3,-36,-38.80,0.30,1.84,0.94
513738,TestNetwork2,-63,-63.01,1.17,1.84,0.94
517338,TestNetwork1,-48,-51.33,0.30,1.82,0.96
517338,TestNetwork3,-39,-38.81,0.30,1.82,0.96
517338,TestNetwork2,-73,-63.50,1.25,1.82,0.96
520898,TestNetwork1,-52,-51.36,0.30,1.81,0.96
520898,TestNetwork3,-39,-38.82,0.30,1.81,0.96
520898,TestNetwork2,-67,-63.67,1.28,1.81,0.96
524458,TestNetwork1,-53,-51.44,0.30,1.81,0.96
524458,TestNetwork3,-38,-38.78,0.30,1.81,0.96
524458,TestNetwork2,-61,-63.54,1.26,1.81,0.96
